"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
3;"C1,C4";"R_0805";2;".1u10v";;;
4;"C2";"R_0805";1;"1u10v";;;
6;"C5,C6";"R_0805";2;"10u10v";;;
7;"ESP1";"ESP12E";1;"ESP12E";;;
8;"J3";"Molex_KK-6410-04_04x2.54mm_Straight";1;"WS2813";;;
9;"MK1";"CP_Radial_D10.0mm_P2.50mm_P5.00mm";1;"Microphone";;;
10;"R1,R13";"R_0805";2;"47k";;;
11;"R2,R3,R5";"R_0805";3;"4k7";;;
12;"R4,R11";"R_0805";2;"10k";;;
13;"U1,U2";"SOT-23-5_HandSoldering";2;"TLV70036";;;
14;"D1,D2,D3,D4,D6,D7,D8,D9";"WS2813";8;"WS2813";;;
15;"SW1,SW2,SW3,SW4,SW5,SW6";"TACTILE10";6;"TACTILE";;;
16;"J2";"PJ-037A";1;"5vdcIn";;;
17;"P1";"USB_Micro-B_10103594-0001LF";1;"USBMicroB-10118194-0001LF";;;
18;"D5";"DO-214AB";1;"Schottky";;;
19;"R6";"R_0805";1;"1.5k";;;
20;"REF**";"MountingHole_8.4mm_M8_Pad";1;"MountingHole_8.4mm_M8_Pad";;;
21;"J4";"Molex_KK-6410-05_05x2.54mm_Straight";1;"Conn_01x05";;;
22;"J1";"3.5mm_barrel_jack_MJ-3536N";1;"Conn_01x03";;;
23;"R10";"R_0805";1;"220k";;;
24;"R12";"R_0805";1;"22k";;;
25;"U3";"SOT-23-5";1;"OPAMP_MCP6001T";;;
26;"C7";"R_0805";1;"10u";;;
